Total or partial,Franchise,League,From,To,Years,G,W,L,WL,Playoffs,Div,Conf,Champ
Total,Atlanta Hawks,NBA,1949-50,2022-23,74,5855,2891,2964,.494,49,12,0,1
Partial,Atlanta Hawks,NBA,1968-69,2022-23,55,4437,2193,2244,.494,36,6,0,0
Partial,St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Partial,Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Partial,Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Total,Boston Celtics,NBA/BAA,1946-47,2022-23,77,6032,3570,2462,.592,60,33,10,17
Total,Brooklyn Nets,NBA/ABA,1967-68,2022-23,56,4530,1996,2534,.441,31,5,2,2
Partial,Brooklyn Nets,NBA,2012-13,2022-23,11,882,414,468,.469,8,0,0,0
Partial,New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
Partial,New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
Partial,New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
Partial,New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Total,Charlotte Hornets,NBA,1988-89,2022-23,33,2631,1153,1478,.438,10,0,0,0
Partial,Charlotte Hornets,NBA,2014-15,2022-23,9,711,318,393,.447,1,0,0,0
Partial,Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Partial,Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Total,Chicago Bulls,NBA,1966-67,2022-23,57,4598,2344,2254,.510,37,9,6,6
Total,Cleveland Cavaliers,NBA,1970-71,2022-23,53,4271,1984,2287,.465,23,7,5,1
Total,Dallas Mavericks,NBA,1980-81,2022-23,43,3461,1747,1714,.505,24,4,2,1
Total,Denver Nuggets,NBA/ABA,1967-68,2022-23,56,4531,2310,2221,.510,38,13,0,0
Partial,Denver Nuggets,NBA,1976-77,2022-23,47,3787,1897,1890,.501,29,10,0,0
Partial,Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Partial,Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Total,Detroit Pistons,NBA/BAA,1948-49,2022-23,75,5916,2813,3103,.475,42,11,5,3
Partial,Detroit Pistons,NBA,1957-58,2022-23,66,5297,2500,2797,.472,34,9,5,3
Partial,Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Total,Golden State Warriors,NBA/BAA,1946-47,2022-23,77,6021,2923,3098,.485,37,12,7,7
Partial,Golden State Warriors,NBA,1971-72,2022-23,52,4189,2035,2154,.486,20,7,7,5
Partial,San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Partial,Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Total,Houston Rockets,NBA,1967-68,2022-23,56,4524,2328,2196,.515,34,8,4,2
Partial,Houston Rockets,NBA,1971-72,2022-23,52,4196,2209,1987,.526,33,8,4,2
Partial,San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Total,Indiana Pacers,NBA/ABA,1967-68,2022-23,56,4530,2310,2220,.510,36,9,1,3
Partial,Indiana Pacers,NBA,1976-77,2022-23,47,3786,1883,1903,.497,27,6,1,0
Partial,Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Total,Los Angeles Clippers,NBA,1970-71,2022-23,53,4278,1792,2486,.419,17,2,0,0
Partial,Los Angeles Clippers,NBA,1984-85,2022-23,39,3130,1347,1783,.430,14,2,0,0
Partial,San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Partial,Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Total,Los Angeles Lakers,NBA/BAA,1948-49,2022-23,75,5922,3503,2419,.592,63,33,19,17
Partial,Los Angeles Lakers,NBA,1960-61,2022-23,63,5083,3046,2037,.599,52,29,19,12
Partial,Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
Total,Memphis Grizzlies,NBA,1995-96,2022-23,28,2229,971,1258,.436,13,2,0,0
Partial,Memphis Grizzlies,NBA,2001-02,2022-23,22,1769,870,899,.492,13,2,0,0
Partial,Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Total,Miami Heat,NBA,1988-89,2022-23,35,2803,1475,1328,.526,24,16,6,3
Total,Milwaukee Bucks,NBA,1968-69,2022-23,55,4443,2340,2103,.527,35,18,3,2
Total,Minnesota Timberwolves,NBA,1989-90,2022-23,34,2712,1091,1621,.402,11,1,0,0
Total,New Orleans Pelicans,NBA,2002-03,2022-23,21,1686,782,904,.464,9,1,0,0
Partial,New Orleans Pelicans,NBA,2013-14,2022-23,10,800,363,437,.454,4,0,0,0
Partial,NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
Partial,New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,.474,5,1,0,0
Total,New York Knicks,NBA/BAA,1946-47,2022-23,77,6023,2924,3099,.485,44,8,4,2
Total,Oklahoma City Thunder,NBA,1967-68,2022-23,56,4524,2413,2111,.533,33,11,4,1
Partial,Oklahoma City Thunder,NBA,2008-09,2022-23,15,1194,668,526,.559,11,5,1,0
Partial,Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,.524,22,6,3,1
Total,Orlando Magic,NBA,1989-90,2022-23,34,2721,1268,1453,.466,16,6,2,0
Total,Philadelphia 76ers,NBA,1949-50,2022-23,74,5859,3054,2805,.521,53,12,5,3
Partial,Philadelphia 76ers,NBA,1963-64,2022-23,60,4846,2478,2368,.511,39,9,5,2
Partial,Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,.569,14,3,0,1
Total,Phoenix Suns,NBA,1968-69,2022-23,55,4443,2380,2063,.536,32,8,3,0
Total,Portland Trail Blazers,NBA,1970-71,2022-23,53,4280,2271,2009,.531,37,6,3,1
Total,Sacramento Kings,NBA/BAA,1948-49,2022-23,75,5923,2702,3221,.456,30,6,0,1
Partial,Sacramento Kings,NBA,1985-86,2022-23,38,3048,1296,1752,.425,11,3,0,0
Partial,Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,.465,4,1,0,0
Partial,Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,.459,1,0,0,0
Partial,Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,.467,7,0,0,0
Partial,Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,.576,7,2,0,1
Total,San Antonio Spurs,NBA/ABA,1967-68,2022-23,56,4529,2661,1868,.588,47,22,6,5
Partial,San Antonio Spurs,NBA,1976-77,2022-23,47,3785,2283,1502,.603,39,22,6,5
Partial,San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Partial,Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Partial,Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Total,Toronto Raptors,NBA,1995-96,2022-23,28,2228,1071,1157,.481,14,7,1,1
Total,Utah Jazz,NBA,1974-75,2022-23,49,3950,2146,1804,.543,31,11,2,0
Partial,Utah Jazz,NBA,1979-80,2022-23,44,3540,1985,1555,.561,31,11,2,0
Partial,New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Total,Washington Wizards,NBA,1961-62,2022-23,62,5005,2257,2748,.451,30,8,4,1
Partial,Washington Wizards,NBA,1997-98,2022-23,26,2064,879,1185,.426,9,1,0,0
Partial,Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Partial,Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Partial,Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Partial,Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Partial,Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
